CodigoInterno,NombreInvima,DescripcionComercial,CodigoInvima,Cum
C458401,XULTOPHY® SOLUCION PARA INYECCIÓN,CAJA POR 1 PLUMA PRELLENADA DESECHABLESSIN DATOQUE INCLUYE CARTUCHO DE VIDRIOSIN DATOTIPO I X 3 ML. EMBOLO DE BROMOBUTILO Y TAPÓNSIN DATOBROMOBUTILO / POLISOPRENO.,INVIMA 2017MBT-0017779,20090556-1
C321033,GENOPRAZOL ® 20 MG CÁPSULAS,CAJA PLEGADIZA CON 2 BLISTER TRIFLEX I ALUMINIO PVC/PE/PVDC BLANCO- ALUMINIO TRANSPARENTE POR 7 CAPSULAS.,INVIMA 2020M-0015447-R1,20070604-3
C475310,GARMISCH COLESTIR 10 / 40 MG TABLETAS,CAJA PORSIN DATO30 TABLETAS EN BLISTER PVDC / ALUMINIO.,INVIMA 2021M-0010136-R1,20007636-2
C695124,CREMA N. 4 ORIGINAL®.,POTE DE POLIPROPILENO PORSIN DATO110SIN DATOG,INVIMA 2022M-0005352-R2,19955193-49
C310091,VOXAMIN® TABLETA RECUBIERTA,CAJA POR 30 TABLETAS RECUBIERTAS EN BLÍSTER DE ALUMINIO/PVC AMARILLO,INVIMA 2008 M-011476 R-1,226058-3
C017921,CLENOX ®,CAJA POR UNA JERINGA PRELLENADAS EN BLISTER PVC/PROPALCOTE POR 0. 8 ML C/U.,INVIMA 2024MB-0004412-R2,19950452-38
C285665,PALEXIS® RETARD 50MG,CAJA DE CARTON POR 60SIN DATOTABLETAS EN BLISTER DE PVC/PVDC - PAPEL /PET/ALUMINIO.,INVIMA 2023M-0014509-R2,20018741-7
C021183,DICETEL® DUO,CAJA POR 12 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO-ALUMINIO (POLAMIDA-OPA. FOIL DE ALUMINIO. FILM DE PVC) MAS PAPEL ALUMINIO EN CAJA DE CARTÓN.,INVIMA 2016M-0017223,20066852-1
485112,SOLUCION SALINA HIPERTONICA AL 5% VISCOSA PARA USO OFTALMICO,MUESTRA MEDICA: FRASCO GOTERO POR 5 ML EN POLIETILENO DE BAJA DENSIDAD CON TAPA DE PP EN CAJA DE CARTON,INVIMA 2010 M-011418 R2,33661-2
C200063,VAYAPLIN® 5 MG,IUM 1T1006511009100SIN DATOCAJA POR 14 TABLETAS RECUBIERTAS EN BLISTER ALU/STARFLEX POR 14 TABLETAS RECUBIERTAS.,INVIMA 2023M-0018924-R1,20153561-2
C08454,PROGRAF ® CAPSULAS DE 1 MG,CAJA DE CARTÓN CON 50 CÁPSULAS EN BLISTER DE PVC/PVDC DENTRO DE UNA BOLSA DE ALUMINIO HERMÉTICAMENTE SELLADA QUE ADICIONALMENTE CONTIENE UNA BOLSA CON DESECANTE.,INVIMA 2020M-0003578-R2,19943741-1
C670633,TARGIN (R) 10 MG / 5 MG TABLETAS DE LIBERACIÓN PROLONGADA,CAJA PLEGADIZA X28 TABLETAS EN BLISTER ALUMINIO / ALUMINIO. CADA BLISTER X14 UNIDADES.,INVIMA 2021M-0016254-R1,20088700-1
C265459,DESLORATADINA 2.5 MG / 5MLJARABE.,CAJA CON FRASCO PET AMBAR CON TAPA DE POLIPROPILENO POR 60ML .,INVIMA 2008M-0008131,19985082-1
C425420,ILTUX HCT ® 12.5 + 20,CAJA X 28 COMPRIMIDOS RECUBIERTOS EN BLISTER ALU-ALU,INVIMA 2023M-0021087,20197822-2
C01406,PROFENID GEL 2.5%,CAJA POR TUBO DE ALUMINIOSIN DATOX 30 G. MÁS INSERTO,INVIMA 2022M-0000234-R3,19917701-2
C230045,ALEVIAN DUO ® CAPSULAS,CAJASIN DATOXSIN DATO64SIN DATOCÁPSULAS EN BLISTER DESIN DATOBURBUJASIN DATOALU/ ALU,INVIMA 2017M-0012353-R1,20028750-4
285135*I,TRAMAL INYECTABLE 50 MG,CAJA POR 1 AMPOLLA DE VIDRIO TIPO I INCOLORO POR 1ML.,INVIMA 2015M-007193-R3,19512-1
C998011,CAXOFU 50 MG POLVO LIOFILIZADO PARA INYECCIÓN.,1C1024221002100 CAJA POR UN VIAL DE VIDRIO TIPO ISIN DATOCON TAPON DE CAUCHO. AGRAFE Y FLIP-OFF,INVIMA 2019M-0019085,20138254-1
C999615,MICOFENTIN®,TUBO COLAPSIBLE DE ALUMINIO CON CAPA DE RECUBRIMIENTO INTERIOR POR 20 G CON 3 APLICADORES DESECHABLESSIN DATO(REGISTRO SANITARIO NO. INVIMA 2012DM-0009458) PARA APLICACIÓN VAGINAL,INVIMA 2023M-0006482-R2,19966163-1
C135626,MOXAR® SI TABLETAS,CAJA PLEGADIZA POR 30 TABLETAS EN BLISTER DE ALUMINIO/PVC TRANSPARENTE.,INVIMA 2009M-0010236,20007744-3
C310240,IZINOVA®,PRESENTACIÓN COMERCIAL: CAJA PLEGADIZA CON 2 FRASCOS PET COLOR AMBAR CON TAPA DE POLIPROPILENO TIPO HDPE MAS VASO DOSIFICADOR DE POLIPROPILENO (PP) EN CAJA DE CARTÓN.,INVIMA 2022M-0017246-R1,20100166-1
C07531,SUMICETRON® 40 MG,CAJA POR 50SIN DATOFRASCOS AMPOLLA DE VIDRIO TIPO I INCOLORO. CON TAPÓN DE GOMA Y TAPA FLIP OFF.,INVIMA 2021M-0008525-R1,19989805-4
C255331,TETRALYSAL® CAPSULAS 300 MG,CAJA POR 28 CÁPSULAS. EN 7 TIRAS DE ALUMINIO/POLIETILENO POR 4 CÀPSULAS CADA UNA,INVIMA 2023M-0000813-R3,19924729-7
C605235,DENIBAN®COMPRIMIDOS 200MG,ESTUCHE POR 20 COMPRIMIDOS EN BLISTER PVC/ALUMINIO,INVIMA 2019M-011259-R3,35134-1
C015100,COTELLIC® (COBIMETINIB) 20 MG TABLETAS RECUBIERTAS,COMERCIAL: 1C1018181000101 COBIMETINIB 20.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (COTELLIC) TABLETA 1.0000U / CAJA X 63. CAJA POR 63 TABLETAS RECUBIERTAS CON 3 BLÍSTERES DUPLEX TRANSPARENTES (PVC/PVDC) CON CIERRE DE LÁMINA DE ALUMINIO DE 21 TABLETAS RECUBIERTAS C/U,INVIMA 2023M-0018518-R1,20119351-1
525241,B-VIT CAPSULA,PRESENTACIÓN COMERCIAL: CAJA POR 50 CÁPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLISTERSIN DATOPVC/ ALUMINIO POR 10 CÁPSULAS BLANDAS C/U.,INVIMA 2023M-0013146-R2,20045393-8
C080723,POLIVY®,CAJA POR 1 VIAL DE VIDRIO TIPO I QUE CONTIENE 140MG DE POLATUZUMAB VEDOTINA,INVIMA 2022MBT-0000046,20167788-1
C455016,NAPROZOL®,CAJA POR 20 TABLETAS DE LIBERACION RETARDADASIN DATOEN BLISTER PVC/TE/PVDC INCOLORO/ ALUMINIOPOR 10 TABLETAS DE LIBERACION RETARDADASIN DATOC/U. USO INSTITUCIONAL PROHIBIDA SU VENTA,INVIMA 2014M-0015589,20073098-19
C585333,RIXATHON®10MG/ML SOLUCION CONCENTRADA PARA INFUSION,CAJA CON 1 VIAL DE 50ML (VIDRIO TIPO I),INVIMA 2020MBT-0000017,20145203-3
C00508,AZARGA® SUSPENSION OFTÁLMICA ESTÉRIL,CAJA X FRASCO GOTERO X 5 ML,INVIMA 2023M-0010040-R1,20005679-1
C694036,NAPROX 150MG / 5ML SUSPENSION,INSTITUCIONAL: FRASCO PET COLOR AMBAR POR 80ML,INVIMA 2008M-0008334,19986585-2
C455191,APRIX® TABLETAS,CAJA X 100 TABLETAS EN BLISTER PVC TRANSPARENTE / FOIL DE ALUMINIO. 10 BLISTER X 10 TABLETAS.,INVIMA 2021M-0001890-R2,19931777-5
C004224,AMIKACINA 500 MG/2ML,CAJA PLEGADIZA POR 100 AMPOLLAS POR 2 ML EN VIDRIO TIPO I INCOLORO.,INVIMA 2023M-014905-R3,19908236-11
C645211,UREADERM® 15%,CAJA PLEGADIZA CARTULINA POR 1 TUBO COLAPSIBLE DE POLIETILENO MEZCLA 70/30 PEBD/PEAD POR 60 G.,INVIMA 2019M-13781-R2,30243-1
C341082,AMPICILINA 500 MG.,CAJA POR 10 VIAL DE VIDRIO TIPO I TRANSPARENTE CONSIN DATOTAPON GRISSIN DATODE CAUCHO Y AGRAFE DE ALUMINIO,INVIMA 2020 M-011536-R2,218002-9
C395405,TRUSTIVA ®,CAJA X 1 FRASCO PEAD X 30 TABLETAS RECUBIERTAS,INVIMA 2014M-0014978,20064176-1
C99909851,KETOTIFENO JARABE,FRASCO DE PET BLANCO POR 100 ML,INVIMA 2021M-0007745-R1,19984823-1
C320162,SIMPONI® IV,CAJA CON 1 VIAL DE VIDRIO TIPO I CLARO CON UN TAPÓN DE BUTILO. SELLO DE ALUMINIO Y TAPA FLIP OFF AZUL OSCURO.,INVIMA 2022MBT-0016181-R1,20069677-1
C062514,BICAHET® 50 MG,CAJA CON 1 FRASCO PEAD BLANCO SELLADO CON FOIL ALUMINIO X 30 TABLETAS. TAPA PLÁSTICA DE SEGURIDAD BLANCA CON LINER BLANCO.,INVIMA 2014M-0015511,20070220-1
C0858211,RYBELSUS® 3 MG TABLETAS,CAJA POR 30 TABLETAS EN BLÍSTER ALU/ALU,INVIMA 2021MBT-0000042,20171148-1
C466516,ERTAGRAM® 1 G,1 VIAL DE VIDRIO TIPO I DE 20 ML CON TAPÓN DE BROMOBUTILO Y TAPA FLIP OFF,INVIMA 2023M-0018186-R1,20117466-1
C135855,SATOREN ® H FORTE TABLETAS RECUBIERTAS,CAJA X 30 TABLETAS. EN BLISTER ALUMINIO / PVC-PVDC-PE,INVIMA 2023M-0003648-R2,19944003-4
C033106,KALVIR® 0.5MG,1E1007191005105 FRASCO EN PEAD CON TAPA EN PP BLANCASIN DATOPOR 30 TABLETAS RECUBIERTAS,INVIMA 2021M-0020214,20191662-6
C999875,ETOPOSIDO 100 MG/5 ML SOLUCION INYECTABLE.,CAJA DE CARTON CON UN FRASCO VIAL DE VIDRIO TIPO I TRANSPARENTRE POR 5 ML.,INVIMA 2022M-0007984-R2,19982071-1
C625020,EFAVIRENZ 600MG + EMTRICITABINE 200MG + TENOFOVIR DISOPROXIL FUMARATO 300MG TABLETAS RECUBIERTAS,CAJA PLEGADIZA CON UN FRASCO DE HDPESIN DATOPOR 30 TABLETAS RECUBIERTAS CON TAPA DE POLIPROPILENO Y UN SACHET POR 3 G DE SILICA GEL COMO DESECANTE,INVIMA 2019M-0015188-R1,20066564-1
C220522,TOXTREX 4 MG CÁPSULAS DE LIBERACIÓN EXTENDIDA,1T1018151002102: CAJA POR 30 CÁPSULAS DE LIBERACIÓN PROLONGADA EN TRES BLISTER ALU/ALU POR 10 CÁPSULAS CADA UNO.,INVIMA 2019M-0019115,20130424-3
C190920,SULPITAM ®,CAJA POR 10 FRASCOS VIAL DE VIDRIO TRANSPARENTE TIPO I CON TAPON DE HULE GRIS Y SELLO DE ALUMINIO VERDE (1.5 G / VIAL).,INVIMA 2020M-0019900,20162322-3
C12400,URBADAN® 20 MG,1C1042891001103 - CLOBAZAM 20.00 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (URBADAN) TABLETA 1.00 U / CAJA X 30 CAJA PLEGADIZA POR 30 TABLETAS EN BLISTER PVC TRANSLÚCIDO/ ALUMINIO,INVIMA 2023M-005148-R3,44747-2
C485045,KENALER® SOLUCION OFTALMICA.,CAJA CON UN FRASCO GOTERO DE PEBD POR 5 ML.,INVIMA 2019M-0001633-R2,19930002-1
C01814,CIPRO® 500 MG COMPRIMIDOS,CAJA POR 50 COMPRIMIDOS EN FOIL DE ALUMINIO.,INVIMA 2019M-010201-R3,30435-4
C630106,DESONIDA 0.1% CREMA,CAJA PLEGADIZA CON TUBO COLAPSIBLE DE ALUMINIO POR 15 G.,INVIMA 2022 M-011908- R2,217278-2
C807701,OXACILINA 1G POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE.,FRASCO DE VIDRIO TRANSPARENTE TIPO I CON 1 G. DE POLVO PARA RECONSTITUIR A SOLUCION INYECTABLE.,INVIMA 2023M-0014184-R2,20049275-1
C253412,ESTIVA®600 MG TABLETAS,CAJA X 1 FRASCO PEAD BLANCO OPACOSIN DATOCON TAPA PP BLANCO OPACOSIN DATOX 30 TABLETAS RECUBIERTAS,INVIMA 2014M-0015155,20063470-1
C07314,SEGREGAM® 40 MG COMPRIMIDOS CON CUBIERTA ENTERICA,CAJA POR 4SIN DATOBLISTER. BLISTER POR 7SIN DATOCOMPRIMIDOS CON CUBIERTA ENTÉRICA.,INVIMA 2021M-0005565-R2,19963586-6
C080722,XYNTHA ® 500 UI POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE,COMERCIAL: CAJA CON BANDEJA CON VIAL DE VIDRIO TIPO I CON TAPON DE CLOROBUTILO GRIS. TAPA FLIP OFF Y CIERRE DE ALUMINIO CON POLVO LIOFILIZADO. JERINGA PRELLENADA CON SOLVENTE. ADAPTADOR ESTERIL. SISTEMA DE INFUSION ESTERIL. DOS TORUNDAS CON ALCOHOL. APOSITO ADHESIVO Y COMPRESA DE GASA.,INVIMA 2022MBT-0009675-R1,20005016-1
C969696,LADEVINA® 15 MG CÁPSULAS,1L1006521000101 CAJA POR 21 CÁPSULAS EN BLÍSTER PVC LAMINADO CON UNA CAPA DE EMPUJE DE PCTFE/AL,INVIMA 2019M-0018909,20115046-2
C497020,APROVASC® 150MG/5MG,ESTUCHE X 28 COMPRIMIDOS RECUBIERTOS EN BLISTER PVC-PE-PVDC/AL,INVIMA 2019M-0013009-R1,20043390-2
C021555,DOXICICLINA 100 MG.,CAJA POR 15 TABLETAS CUBIERTAS EN BLISTER PVC/PE/PVDC - ALUMINIO POR 15 TABLETAS CUBIERTAS.,INVIMA 2022M-0011191-R2,20018396-24
C998137,PRAZENTOL 1MG/ML,CAJA CON FRASCO AMBAR POR 150 ML. COPA DOSIFICADORA POR 30 ML Y JERINGA PARA ADMINISTRACION ORAL POR 2 ML,INVIMA 2023M-0018136-R1,20115305-4
C09190,RIVOTRIL ® TABLETAS DE 2.0 MG.,CAJA X 30 TABLETAS EN BLISTER PVC/ALUMINIO.,INVIMA 2021M-007556-R4,63502-1
C005381,LUDIKA TABLETAS RECUBIERTAS 5 MG,CAJA POR 250 TABLETAS RECUBIERTAS EN BLISTER PVC TRANSPARENTE/ALUMINIO,INVIMA 2022M-0017186-R1,20098922-12
C012512,BLASTOFERON® 44 µG SOLUCIÓN INYECTABLE,ESTUCHE (CAJA) POR 12 JERINGAS PRELLENADAS LISTAS PARA SU USO CONTENIENDO 0.5 ML DE SOLUCIÓN INYECTABLE C/U,INVIMA 2019M-0019335,20100713-4
C100619,SYSTANE ® HA GOTAS OFTALMICAS LUBRICANTES,2H1003311000100 CAJA CON FRASCO GOTERO PEBD CON GOTERO PEBD Y TAPA PP POR 10 ML,INVIMA 2023M-0018103-R1,20104024-1
C125440,MICARDIS® PLUS 80 MG/25 MG,CAJA X 28 TABLETAS 80/25 EN BLISTER ALUMINIO,INVIMA 2023M-0007085-R2,19976402-3
C595260,ROXICAINA® 2% SIMPLE,CAJA PLEGADIZA CON FRASCO VIAL DE VIDRIO TRANSPARENTE INCOLORO TIPO II. CON TAPON DE CAUCHO Y AGRAFE DE ALUMINIO. POR 50 ML. DE SOLUCIÓN.,INVIMA 2009 M-010277-R2,31540-2
C465223,EXFORGE® 5/80 MG COMPRIMIDOS CON CUBIERTA PELICULAR,CAJA POR 28 COMPRIMIDOS EN BLISTER ALU/ALU (PA/AL/PVC),INVIMA 2020M-0007060-R1,19977790-3
C041989,HUMALOG 100 U/ML,COMERCIAL: CAJA DE CARTÓN X 5 DISPOSITIVOS DE APLICACIÓN DESCARTABLES DE 3ML KWIKPEN,INVIMA 2020MBT-010101-R2,224030-5
C149833,LADEVINA® 25 MG CAPSULA DURA,1L1006541000101 CAJA POR 21 CÁPSULAS EN BLÍSTER PVC LAMINADO CON UNA CAPA DE EMPUJE DE PCTFE/AL,INVIMA 2019M-0018969,20115050-2
C999097,DERPROSOL® CREMA,CAJA PLEGADIZA X 1 TUBO LAMINADO DE CREMA X 40 G,INVIMA 2020M-0015292-R1,20066808-4
C120182,MIDAZOLAM 7.5 MG TABLETAS,CAJA POR 10 TABLETAS EN BLISTER PVC/PVDC TRANSPARENTE - ALUMINIO POR 10 TABLETAS.,INVIMA 2020M-0011347-R2,20016432-1
585280,KONAKION ® MICELAS MIXTAS AMPOLLAS 10MG/ML,CAJA POR 5 AMPOLLAS POR 1 ML.,INVIMA 2023M-011075-R3,226665-1
C660580,TRETINEX®20MG,CAJA POR 30 CAPSULAS EN BLISTER ALUMINIO - ALU/ALUSIN DATOPOR 10 CAPSULAS CADA UNO,INVIMA 2014M-0002873-R1,19939733-11
C010195,TOBRADEX ® UNGUENTO OFTÁLMICO ESTERIL,TUBO DE ALUMINIO CON TAPA EN POLIETILENO BLANCA EN CAJA DE PVP POR 3.5 G,INVIMA 2023M-010625-R2,34283-1
C265766,SECNIDAZOL 1 G TABLETAS,CAJA CARTON POR 1 BLISTER POR 2 TABLETAS PVC TRANSPARENTE/PAPEL ALUMINIO IMPRESO,INVIMA 2022M-13540-R2,19903653-1
C606201,BROMAZEPAM 6 MG TABLETA,CAJA PLEGADIZA POR 10 TABLETAS EN BLISTER PVC TRANSPARENTE INCOLORO/ALUMINIO,INVIMA 2021M-011165-R2,227603-1
C620045,ANGELIQ®,PRESENTACION COMERCIAL: CAJA POR UN BLISTER DE PVC/PVDC-ALUMINIO. CON 28 TABLETAS RECUBIERTAS MAS INSERTO,INVIMA 2020M-0003705-R2,19946953-1
C420237,G-MET ®,CAJA PLEGADIZA CON FRASCO DE POLIETILENO DE ALTA DENSIDAD COLOR BLANCO + TAPA DE POLIPROPILENO BLANCA CON LINNER DE ETILENO VINIL ACETATO POR 240 ML . CON JERINGA DE 10 ML EN POLIPROPILENO + TAPON LARGO DE POLIETILENO DE BAJA DENSIDAD.,INVIMA 2016M-0017366,20078851-3
C630244,SERTAL® 10 MG COMPRIMIDOS RECUBIERTOS,CAJA X 20 COMPRIMIDOS EN BLISTER DE ALUMINIO - PVC CON INSERTO,INVIMA 2019M-0001049-R2,19925381-3
C075625,SEEBRI BREEZHALER,CAJA POR 30 CAPSULAS DURAS EN BLISTER ALU/ALU CON POLVO PARA INHALACION + 1 INHALADOR,INVIMA 2018M-0014549-R1,20058285-1
C295135,VONAU FLASH® 4 MG TABLETA DE DESINTEGRACION ORAL,CAJA PLEGADIZA CON TIRA EN ALUMINIO/ALUMINO POR 10 TABLETAS (IUM 1O1029461001100),INVIMA 2020M-0019664,20082646-1
